surface_id,area,host,endpoint_family,endpoint_class,auth_mechanism,token_carrier,adapter_owner,retirement_or_containment_decision,risk_level,affected_epics,evidence_id,owner,status,notes
NET-001,Platform,Rivulet/Info.plist,ATS policy,Supporting platform surface,N/A,None,Epic 1 platform/security owner,Replace broad app-wide arbitrary-load policy with scoped exceptions under ADR-004,High,"Epic 1; Epic 5","E1-PR1-SCAN-005; E1-PR3-LOCAL-001",Project Owner,Open,Current baseline has NSAllowsArbitraryLoads=true and NSAllowsLocalNetworking=true; PR 3 confirms no NSLocalNetworkUsageDescription or NSBonjourServices key is present.
NET-002,Plex Account,plex.tv,/api/v2/pins,Official plex.tv API,Plex PIN auth flow,Header token where authenticated; unauthenticated polling during PIN flow,Plex auth adapter,Preserve as official Plex account auth surface; forbid token-bearing diagnostics,Low,Epic 1,E1-PR1-SCAN-002,Epic 1 owner,Operational baseline,Known official plex.tv auth endpoint.
NET-003,Plex Account,plex.tv,/api/v2/user,Official plex.tv API,Plex account token,Header,Plex auth adapter,Preserve as official account identity surface; apply redaction and observability policy,Low,Epic 1,E1-PR1-SCAN-002,Epic 1 owner,Operational baseline,Used for account identity after authentication.
NET-004,Plex Resources,plex.tv,/api/v2/resources,Official plex.tv API,Plex account token,Header,Plex resources adapter,Preserve as primary server-discovery surface; verify no raw token or connection URI diagnostics,Low,Epic 1,"E1-PR1-SCAN-002; E1-PR5-TEST-001",Epic 1 owner,Operational baseline,Primary server discovery source; PR 5 adds shared plex.tv header-first request construction coverage with no token query items.
NET-005,Plex Home,plex.tv,/api/v2/home/users,Official plex.tv API,Plex account token,Header,Plex home adapter,Preserve as Plex Home user-list surface; validate user-switch privacy model,Low,Epic 1,E1-PR1-SCAN-002,Epic 1 owner,Operational baseline,Plex Home identity surface.
NET-006,Plex Home,plex.tv,/api/v2/home/users/{uuid}/switch,Official plex.tv API,Plex account token plus optional Home PIN,Header plus request body,Plex home adapter,Preserve as Plex Home switch surface; validate returned user-token lifecycle and no token logging,Medium,Epic 1,E1-PR1-SCAN-002,Epic 1 owner,Operational baseline,Returned Home user token must remain credential-controlled.
NET-007,Plex Legacy,plex.tv,/pms/servers.xml,Legacy API,Plex account token,Header,Legacy Plex fallback adapter,Contain behind legacy fallback adapter; retire after /api/v2/resources parity is verified,Medium,Epic 1,E1-PR1-SCAN-007,Epic 1 owner,Open,Scan confirms legacy XML server endpoint remains present in PlexNetworkManager.
NET-008,Plex Legacy,plex.tv,/api/home/users,Legacy API,Plex account token,Header,Legacy Plex home fallback adapter,Contain behind legacy Home fallback adapter; retire after /api/v2/home/users flow is complete,Medium,Epic 1,E1-PR1-SCAN-007,Epic 1 owner,Open,Legacy Home users endpoint remains documented in PlexNetworkManager fallback comments and flow.
NET-009,PMS Browse,Selected Plex Media Server,"/library/sections; /library/sections/{id}/all; /library/metadata/{id}; /children; /allLeaves; /related; /extras; /recentlyAdded; /search; /playlists",Official PMS API,PMS server token,Header,PMS browse adapter,Preserve; normalize request construction and redaction; no raw token logging,Low,"Epic 1; Epic 2; Epic 3","E1-PR1-SCAN-001; E1-PR5-MIGRATION-001; E1-PR5-TEST-001",Epic 1 owner,Operational baseline,Core PMS browse family used by home library and detail flows; PR 5 adds header-first request builders and migrates PMS playlist request construction away from query tokens.
NET-010,PMS Hubs,Selected Plex Media Server,"/hubs; /hubs/continueWatching; /hubs/sections/{id}; /hubs/items; /hubs/search",Official PMS API,PMS server token,Header,PMS hubs adapter,Preserve; define pagination and error containment; no raw token logging,Medium,"Epic 1; Epic 2; Epic 3","E1-PR1-SCAN-001; E1-PR5-MIGRATION-001; E1-PR5-TEST-001",Epic 1 owner,Operational baseline,Home and search hub family; PR 5 confirms core hub request construction is header-first and migrates radio hub URL construction away from query tokens.
NET-011,PMS State Writes,Selected Plex Media Server,"/:/timeline; /:/scrobble; /:/unscrobble; /:/rate; /refresh",Official PMS API,PMS server token,Header preferred,PMS state-write adapter,Contain write behavior behind one owned adapter; document timeline and watch-state ownership,Medium,"Epic 1; Epic 4",E1-PR1-SCAN-001,Epic 1 owner,Open,Ownership boundary must be closed in Epic 1 without changing playback behavior.
NET-012,PMS Playback,Selected Plex Media Server,"/video/:/transcode/universal/start.m3u8; /music/:/transcode/universal/start.m3u8; /decision; /stop",Official PMS API,PMS server token,Header plus retained query-token paths in existing route builders,PMS playback adapter,Contain route construction; Epic 1 validates ownership boundary and Epic 4 owns playback behavior,Medium,"Epic 1; Epic 4","E1-PR1-SCAN-003; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 4 owner,Open,PR 5 does not alter playback behavior; token-bearing playback/direct media URLs remain retained query-token paths pending Epic 4-owned validation.
NET-013,PMS Stream Selection,Selected Plex Media Server,/library/parts/{id} stream-selection writes,Official PMS API,PMS server token,Query parameter plus header in adjacent requests,PMS stream-selection adapter,Contain query-token usage until header-token support is verified; redact all diagnostics,Medium,"Epic 1; Epic 4","E1-PR1-SCAN-003; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 4 owner,Open,Audio and subtitle stream selection uses token-bearing URL construction; PR 5 retains behavior pending endpoint-specific live evidence.
NET-014,PMS Live TV,Selected Plex Media Server,/livetv/dvrs and related lineup/grid paths,Official PMS API,PMS server token,Header,PMS Live TV adapter,Preserve; isolate from VOD browse and playback adapters; redact stream URLs,Medium,Epic 4,E1-PR1-SCAN-001,Epic 4 owner,Operational baseline,Live TV behavior remains Epic 4-owned.
NET-015,Discover Watchlist,discover.provider.plex.tv,/library/sections/watchlist/all,Discover/provider API,Plex account token,Query parameter,Discover/watchlist adapter,Contain behind Discover adapter; do not expose raw provider request details to callers,High,"Epic 1; Epic 3","E1-PR1-SCAN-007; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 1 owner,Open,Provider endpoint is unstable and account-token scoped; PR 5 retains query-token behavior pending live Plex fixture evidence.
NET-016,Discover Watchlist,discover.provider.plex.tv,"/actions/addToWatchlist; /actions/removeFromWatchlist",Discover/provider API,Plex account token,Query parameter,Discover/watchlist adapter,Contain behind Discover adapter; add graceful degradation and redacted diagnostics,High,"Epic 1; Epic 3","E1-PR1-SCAN-007; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 1 owner,Open,Provider mutation endpoints require containment; PR 5 intentionally does not change Discover/provider semantics.
NET-017,Discover Metadata,metadata.provider.plex.tv,/library/metadata/matches,Discover/provider API,Plex account token,Query parameter,Discover metadata adapter,Contain behind Discover adapter; use only for GUID resolution; document fallback behavior,High,"Epic 1; Epic 3","E1-PR1-SCAN-007; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 1 owner,Open,Provider metadata endpoint is unstable and should not leak into core PMS flows; PR 5 records retained query-token containment.
NET-018,Public Artwork,"metadata-static.plex.tv; image.tmdb.org",Artwork fetches,Supporting third-party metadata surface,Public unauthenticated,None,Artwork URL adapter,Preserve public CDN URLs; verify no secret query parameters,Low,"Epic 2; Epic 3",E1-PR1-SCAN-001,Epic 3 owner,Operational baseline,Public artwork URLs are acceptable only when no Plex token is appended.
NET-019,Top Shelf Extension,TopShelfExtension,Top Shelf cached image URL handoff,Supporting platform surface,App Group payload derived from selected Plex server token,Token-bearing URL may be cached in extension payload,Top Shelf content adapter,Contain extension payloads; eliminate secret-bearing URLs before Epic 2 Top Shelf close,High,"Epic 1; Epic 2; Epic 5","E1-PR1-SCAN-006; E1-PR2-LOG-001; E1-PR3-TOPSHELF-001; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 2 owner,Open,PR 2 found no token-bearing Top Shelf log or Sentry emission; PR 3 adds extension privacy manifest and disclosure matrix coverage; PR 5 retains runtime token-bearing image URL handoff as downstream Epic 2 work.
NET-020,Crash Reporting,Sentry,Crash breadcrumb and error event submission,Supporting observability surface,SDK-managed transport,SDK event fields and extras,Observability policy owner,Contain with allowed-field and forbidden-field policy; remediate changed sinks before merge,High,"Epic 1; Epic 4; Epic 5","E1-PR1-SCAN-004; E1-PR2-OBS-001; E1-PR2-LOG-001; E1-PR3-SENTRY-001",Epic 0 steward,Partially remediated,PR 2 adds shared redaction disables automatic Sentry network capture and redacts changed stream/media URL extras breadcrumbs and logs; PR 3 adds diagnostic data privacy manifest coverage; Sentry DSN ownership remains open.
NET-021,Deep Links and Search,NSUserActivity and rivulet:// URLs,Play/detail deep-link flow,Supporting platform surface,Opaque app identifiers,None expected in deep-link payload,Deep-link/search adapter,Preserve but minimize identifiers and validate privacy disclosure,Medium,"Epic 1; Epic 2; Epic 5","E1-PR1-SCAN-003; E1-PR3-DEEPLINK-001",Epic 2 owner,Operational baseline,Siri media entity image URL construction is token-sensitive even if deep-link identifiers are not; PR 3 confirms NSUserActivity and rivulet:// payloads carry rating keys/titles but no raw tokens.
NET-022,Local Remux,127.0.0.1 localhost HLS server,Local remux server playback path,Internal/unstable API,Local loopback playback bridge,Local URL may carry sensitive route context,Local remux adapter,Contain loopback playback under ADR-004; verify diagnostics never emit sensitive URLs,Medium,Epic 4,E1-PR1-SCAN-001,Epic 4 owner,Operational baseline,Loopback playback remains Epic 4-owned.
NET-023,Live TV Device,HDHomeRun device,/lineup.json and direct stream URLs,Supporting platform surface,Local network device endpoint,None for device endpoint; direct stream URL is sensitive,Live TV device adapter,Preserve; isolate local network details and validate privacy treatment,Medium,Epic 4,E1-PR1-SCAN-001,Epic 4 owner,Operational baseline,HDHomeRun direct stream URL usage must remain redacted in diagnostics.
NET-024,TMDB Proxy,tmdb-proxy.baingurley.workers.dev,Metadata proxy calls,Supporting third-party metadata surface,Proxy-managed upstream auth,None in client binary,TMDB metadata adapter,Contain and document data sharing; authentication policy required before Epic 3 close,High,"Epic 3; Epic 5",E1-PR1-SCAN-001,Project Owner,Open,Third-party metadata dependency with open-proxy risk noted in audit.
NET-025,Trust Overrides,"Plex certificate delegates; ImageCacheManager; thumbnail trust handling",Server-trust challenge handling,Supporting platform surface,Custom URLSession trust decisions,None directly; protects token-bearing requests,Plex trust policy owner,Unify under ADR-004; no unowned trust exceptions after Epic 1 close,High,"Epic 1; Epic 5",E1-PR1-SCAN-005,Epic 1 owner,Open,PR 1 scan found trust delegate surfaces in PlexAuthManager PlexNetworkManager PlexThumbnailService and ImageCacheManager.
NET-026,PMS Media Asset URLs,Selected Plex Media Server,"PMS artwork paths; /library/streams/{id}; /library/parts/{id}/file; thumbnail endpoints",Official PMS API,PMS server token,Query parameter in current URL builders; header in some thumbnail requests,PMS media asset adapter,Contain token-bearing asset URLs; prefer header or opaque/cache handoff where technically supported,High,"Epic 1; Epic 2; Epic 3; Epic 4; Epic 5","E1-PR1-SCAN-003; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 1 owner,Open,PR 5 retains token-bearing image subtitle media and artwork URL builders because system image consumers cannot reliably attach headers without a later opaque/cache handoff.
NET-027,PMS Music and Radio,Selected Plex Media Server,"/library/sections/{id}/genre; /hubs/sections/{id}; radio station keys; playlists",Official PMS API,PMS server token,Header for genre/radio/playlists; query retained for music artwork/media handoff paths,PMS music/radio adapter,Contain remaining token-bearing media handoff and align with provider abstraction before Epic 1 close,Medium,"Epic 1; Epic 2; Epic 3","E1-PR1-SCAN-003; E1-PR5-MIGRATION-001; E1-PR5-SCAN-001",Epic 1 owner,Partially remediated,PR 5 migrates music genre browse radio hub requests and playlists to header-first authentication; music artwork and media handoff URLs remain contained query-token paths.
NET-028,Siri and Search Image Handoff,Rivulet Services/Siri,MediaItemEntity thumbnail URL construction,Supporting platform surface,PMS server token,Query parameter in generated image URL,Siri/search adapter,Contain or replace token-bearing media entity image URLs before platform search surfaces are considered complete,High,"Epic 1; Epic 2; Epic 5","E1-PR1-SCAN-003; E1-PR5-CONTAIN-001; E1-PR5-SCAN-001",Epic 1 owner,Open,Token-bearing Siri/search image URL construction is retained as a query-token handoff because system image fetchers cannot attach Plex headers reliably in PR 5.
